"vehicleid","date","start_rounded","finish_rounded","tripid"
6824,"2020-08-06","08:35:00","09:05:00",42019246
6825,"2020-08-06","08:30:00","08:35:00",42017813
6828,"2020-08-04","16:30:00","16:40:00",42019321
6828,"2020-08-07","07:00:00","07:10:00",46931548
6830,"2020-08-06","06:50:00","07:00:00",42019248
6830,"2020-08-06","16:15:00","16:45:00",42019332
6834,"2020-08-05","16:00:00","16:10:00",42019381
6835,"2020-08-04","17:15:00","17:20:00",42019340
6841,"2020-08-03","07:55:00","08:00:00",42019244
6841,"2020-08-04","06:25:00","06:35:00",46932493
6846,"2020-08-03","16:30:00","16:45:00",44054715
6849,"2020-08-05","16:35:00","16:45:00",42019385
6850,"2020-08-06","17:15:00","17:20:00",42019340
6853,"2020-08-03","07:20:00","07:30:00",46931237
6853,"2020-08-05","07:20:00","07:30:00",46931237
6857,"2020-08-04","07:50:00","07:55:00",42018639
6858,"2020-08-03","06:00:00","06:10:00",44054900
6858,"2020-08-03","07:50:00","08:05:00",44054686
6860,"2020-08-03","16:50:00","17:00:00",44054716
6861,"2020-08-04","17:15:00","17:20:00",46932736
6862,"2020-08-06","07:35:00","07:40:00",42019275
6863,"2020-08-07","07:15:00","07:20:00",47800876
6866,"2020-08-04","07:20:00","07:30:00",42018634
6867,"2020-08-05","08:30:00","09:05:00",42019246
6868,"2020-08-06","17:00:00","17:10:00",44054717
6869,"2020-08-04","16:50:00","17:00:00",42019393
6881,"2020-08-04","07:10:00","07:20:00",46932484
6883,"2020-08-03","17:40:00","17:45:00",47800934
6884,"2020-08-04","07:35:00","07:40:00",47799362
6884,"2020-08-05","06:40:00","06:45:00",47799364
6886,"2020-08-03","16:30:00","16:35:00",35024315
6892,"2020-08-06","08:05:00","08:15:00",47799363
6892,"2020-08-06","16:00:00","16:05:00",47800883
6893,"2020-08-03","17:05:00","17:10:00",47800713
6893,"2020-08-06","16:45:00","16:50:00",47799348
6898,"2020-08-07","16:10:00","16:25:00",47233421
6900,"2020-08-03","07:50:00","08:00:00",46931495
6906,"2020-08-05","06:30:00","06:35:00",46932493
6906,"2020-08-06","06:00:00","06:10:00",46931370
6906,"2020-08-07","16:05:00","16:35:00",42018654
6907,"2020-08-03","06:40:00","06:50:00",46931270
6907,"2020-08-04","16:20:00","16:35:00",46931600
6909,"2020-08-04","06:00:00","06:10:00",44054900
6911,"2020-08-07","16:40:00","17:00:00",42018656
6915,"2020-08-04","08:30:00","08:40:00",42019306
6916,"2020-08-06","16:15:00","16:20:00",42019249
6916,"2020-08-07","07:40:00","07:45:00",42019686
6919,"2020-08-04","16:05:00","16:30:00",34746181
6919,"2020-08-05","16:30:00","16:40:00",40421183
6921,"2020-08-05","07:25:00","07:50:00",42019279
6921,"2020-08-06","16:35:00","16:45:00",42019385
6922,"2020-08-05","07:50:00","08:00:00",46931495
6922,"2020-08-07","06:40:00","06:50:00",46931270
6923,"2020-08-03","17:05:00","17:25:00",42018594
6923,"2020-08-04","06:40:00","06:50:00",46931270
6923,"2020-08-06","16:25:00","16:35:00",46931600
6926,"2020-08-04","16:10:00","16:20:00",35024288
6930,"2020-08-06","16:10:00","16:20:00",40421164
6932,"2020-08-05","16:10:00","16:20:00",35024288
6935,"2020-08-06","06:50:00","06:55:00",42018629
6940,"2020-08-03","07:10:00","07:20:00",44053823
6942,"2020-08-05","17:05:00","17:20:00",42018645
6943,"2020-08-04","17:40:00","17:50:00",42018741
6947,"2020-08-04","07:45:00","07:55:00",46932535
6948,"2020-08-03","17:30:00","17:40:00",46932565
6948,"2020-08-04","08:20:00","08:30:00",42019305
6953,"2020-08-05","07:40:00","07:55:00",44053832
6953,"2020-08-07","08:30:00","08:45:00",44053821
6953,"2020-08-07","08:40:00","08:55:00",44053824
6955,"2020-08-05","08:35:00","08:45:00",47800773
6955,"2020-08-06","16:45:00","16:50:00",47801032
6956,"2020-08-05","16:15:00","16:20:00",47801375
6956,"2020-08-07","06:50:00","07:00:00",47800830
6957,"2020-08-03","07:50:00","07:55:00",47800831
6957,"2020-08-07","08:10:00","08:20:00",47800829
6965,"2020-08-03","17:55:00","18:00:00",42019354
6966,"2020-08-03","17:40:00","17:55:00",42018657
6966,"2020-08-07","07:30:00","07:35:00",42018635
6968,"2020-08-07","08:00:00","08:05:00",40421147
6976,"2020-08-03","16:30:00","16:35:00",40421183
6979,"2020-08-05","17:25:00","18:00:00",34746207
6981,"2020-08-03","06:45:00","06:55:00",47800918
6983,"2020-08-07","07:20:00","07:25:00",47580718
6984,"2020-08-05","17:25:00","18:00:00",47581454
6985,"2020-08-05","07:25:00","07:50:00",47581399
6986,"2020-08-05","16:40:00","16:50:00",47580737
6987,"2020-08-03","06:40:00","06:45:00",47799364
6987,"2020-08-04","06:10:00","06:15:00",47801027
6991,"2020-08-03","17:35:00","18:00:00",34746158
6993,"2020-08-04","16:30:00","16:35:00",40421183
6993,"2020-08-05","08:05:00","08:30:00",34746147
6993,"2020-08-06","08:50:00","08:55:00",40421108
6997,"2020-08-03","08:05:00","08:10:00",47799363
