OBJECTID,CHANGE_NUM,MINOR_CHAN,CURRENT_NE,IN_SERVICE,ROUTE_ID,LOCAL_EXPR,ROUTE_NUM,SHAPE_Leng
"600","144","0",NEXT,N,"100228",L,"48",44608.2534235436
"613","144","0",NEXT,N,"102646",L,"634",218403.855444932
"86","143","10",IN SERVICE,Y,"100168",L,"277",156902.266663579
"88","143","10",IN SERVICE,Y,"100162",L,"271",196144.212934731
"153","143","10",IN SERVICE,Y,"100451",E,"556",248230.21237102
"154","143","10",IN SERVICE,Y,"100511",E,"542",150201.39464194
"167","143","10",IN SERVICE,Y,"102549",E,"980",82264.786861786
"182","143","10",IN SERVICE,Y,"100273",L,"78",25551.8723895191
"185","143","10",IN SERVICE,Y,"100341",E,"982",215661.874556349
"189","143","10",IN SERVICE,Y,"100344",E,"986",157719.474588337
"278","143","11",CURRENT,N,"100162",L,"271",196144.212980907
"284","143","11",CURRENT,N,"100168",L,"277",156902.266718579
"377","143","11",CURRENT,N,"100451",E,"556",248230.21253861
"378","143","11",CURRENT,N,"100511",E,"542",150201.39470293
"391","143","11",CURRENT,N,"102549",E,"980",82264.786861786
"406","143","11",CURRENT,N,"100273",L,"78",25551.8724491713
"409","143","11",CURRENT,N,"100341",E,"982",215661.874556349
"413","143","11",CURRENT,N,"100344",E,"986",157719.474588337
"500","144","0",NEXT,N,"100146",L,"255",123062.2834911
"525","144","0",NEXT,N,"100162",L,"271",196144.212934731
"594","144","0",NEXT,N,"100273",L,"78",25551.8723895191
"609","144","0",NEXT,N,"100344",E,"986",157719.474588337
"631","144","0",NEXT,N,"100511",E,"542",152394.64847598
"642","144","0",NEXT,N,"100451",E,"556",248230.21237102
"644","144","0",NEXT,N,"102549",E,"980",82264.786861786
"662","144","0",NEXT,N,"100341",E,"982",215100.780420665
"667","144","0",NEXT,N,"102706",E,"541",119927.009642918
"67","143","10",IN SERVICE,Y,"100127",L,"235",74497.4880598682
"68","143","10",IN SERVICE,Y,"100124",L,"232",171952.078209628
"69","143","10",IN SERVICE,Y,"100126",L,"234",114582.294729592
"73","143","10",IN SERVICE,Y,"100129",L,"237",127627.279770445
"75","143","10",IN SERVICE,Y,"100139",L,"249",123411.515347782
"77","143","10",IN SERVICE,Y,"100137",L,"246",89775.5087958945
"78","143","10",IN SERVICE,Y,"100133",L,"240",123358.151234634
"113","143","10",IN SERVICE,Y,"100241",E,"555",126688.442944007
"128","143","10",IN SERVICE,Y,"100201",L,"342",292728.060824011
"155","143","10",IN SERVICE,Y,"102552",L,"226",92044.4096140489
"166","143","10",IN SERVICE,Y,"102548",L,"672",76887.5901598259
"170","143","10",IN SERVICE,Y,"100473",E,"981",139345.031086709
"172","143","10",IN SERVICE,Y,"102554",L,"241",54594.4969536151
"270","143","11",CURRENT,N,"100133",L,"240",123358.151123681
"279","143","11",CURRENT,N,"100124",L,"232",171758.679531245
"282","143","11",CURRENT,N,"100137",L,"246",89775.5086849413
"283","143","11",CURRENT,N,"100126",L,"234",114582.294721455
"286","143","11",CURRENT,N,"100127",L,"235",74497.4880598682
"287","143","11",CURRENT,N,"100139",L,"249",123411.51545572
"296","143","11",CURRENT,N,"100129",L,"237",127627.279770445
"337","143","11",CURRENT,N,"100241",E,"555",126688.442944007
"352","143","11",CURRENT,N,"100201",L,"342",292728.060824011
"379","143","11",CURRENT,N,"102552",L,"226",92044.4096140489
"390","143","11",CURRENT,N,"102548",L,"672",76887.5901559833
"394","143","11",CURRENT,N,"100473",E,"981",139377.442577832
"396","143","11",CURRENT,N,"102554",L,"241",54594.496950465
"493","144","0",NEXT,N,"100139",L,"249",123221.472878403
"507","144","0",NEXT,N,"100124",L,"232",171952.078208467
"511","144","0",NEXT,N,"100129",L,"237",127627.279770445
"523","144","0",NEXT,N,"100133",L,"240",123358.151234634
"535","144","0",NEXT,N,"100137",L,"246",89775.5087958945
"588","144","0",NEXT,N,"100241",E,"555",126688.442944007
"599","144","0",NEXT,N,"100201",L,"342",292728.060824011
"632","144","0",NEXT,N,"102552",L,"226",92044.4096140489
"643","144","0",NEXT,N,"102548",L,"672",76887.5901598259
"650","144","0",NEXT,N,"102554",L,"241",54594.4969536151
"657","144","0",NEXT,N,"100473",E,"981",139345.031086709
"665","144","0",NEXT,N,"102704",L,"250",100704.244171594
